wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
72318	RNK	3720	-8041	648	ROANOKE/BLACKSBURG	NULL	0,1,3,6,7,10,14,18	2007-02-26	2023-01-09 12:00:00
72327	BNA	3625	-8657	180	NASHVILLE	NULL	0,1,3,6,7,10,14,18	2007-05-21	2023-01-09 12:00:00
72340	LZK	3483	-9227	172	N LITTLE ROCK	NULL	0,1,3,6,7,10,14,16,18	2008-04-07	2023-01-09 12:00:00
72355	FSI	3465	-9840	362	FORT SILL	NULL	0,3,5,6,7,10,14,16,18,56	NULL	2009-01-12 12:00:00
72357	OUN	3523	-9747	362	NORMAN	NULL	0,1,4,6,7,10,14,16,18,56	2006-11-13	2023-01-09 12:00:00
72363	AMA	3523	-10170	1095	AMARILLO	NULL	0,4,5,6,7,10,14,16,18,56	2006-05-08	2023-01-09 12:00:00
72364	EPZ	3190	-10670	1257	SANTA TERESA	ELP	0,3,5,6,7,10,14,18	2013-03-01	2023-01-09 12:00:00
72365	ABQ	3505	-10662	1619	ALBUQUERQUE	NULL	0,3,5,6,7,10,14,18	2008-05-19	2023-01-09 12:00:00
72376	FGZ	3523	-11182	2179	FLAGSTAFF/BELLEMT (ARMY)	NULL	0,4,5,6,7,10,14,17	2006-06-19	2023-01-09 12:00:00
72387	DRA	3662	-11602	1007	DESERT ROCK/MERCURY	NULL	0,3,5,6,7,10,14,17	NULL	2010-11-26 18:00:00
72393	VBG	3475	-12057	100	VANDENBERG	NULL	0,3,5,6,7,10,14,17	NULL	2023-01-09 12:00:00
72402	WAL	3793	-7548	13	WALLOPS ISLAND	NULL	0,1,3,6,7,10,14,15,18	2010-02-09	2023-01-09 12:00:00
72403	IAD	3898	-7749	88	STERLING(WASH DULLES)	IAD	0,1,4,6,7,10,14,15,18	2005-08-01	2023-01-09 12:00:00
72426	ILN	3942	-8382	317	WILMINGTON	NULL	0,1,2,3,6,7,10,14,15,18	2007-04-09	2023-01-09 12:00:00
72440	SGF	3723	-9340	394	SPRINGFIELD REGIONAL AP	NULL	0,1,3,6,7,10,14,16,18,56	2007-08-13	2023-01-09 12:00:00
72456	TOP	3907	-9563	268	TOPEKA	MKC	0,1,2,3,6,7,10,14,16,18	2009-04-06	2023-01-09 12:00:00
72469	DNR	3977	-10487	1611	DENVER/STAPLETON ARPT	DEN	0,3,5,6,7,10,14,16,18	2008-10-27	2022-07-09 00:00:00
72476	GJT	3912	-10853	1472	GRAND JUNCTION	NULL	0,4,5,6,7,10,14,18	2006-09-18	2023-01-09 12:00:00
72489	REV	3957	-11980	1516	RENO	NULL	0,4,5,6,7,10,14,17	2006-07-03	2023-01-09 12:00:00
72493	OAK	3774	-12222	2	OAKLAND INT AP	OAK	0,3,5,6,7,10,14,17	2009-02-09	2023-01-09 12:00:00
72501	OKX	4087	-7287	20	BROOKHAVEN	ISP	0,1,3,6,7,10,14,15,18	2009-06-22	2023-01-09 12:00:00
72518	ALY	4269	-7383	94	ALBANY	NULL	0,1,3,6,7,10,14,15,18	2010-04-10	2023-01-05 17:00:00
72520	PIT	4053	-8023	360	PITTSBURGH/MOON TOWNSHIP	NULL	0,1,2,3,6,7,10,14,15,18	2009-05-29	2023-01-09 12:00:00
72528	BUF	4293	-7873	218	BUFFALO/GRTR ARPT	NULL	0,1,2,4,6,7,10,14,15,18	2006-10-16	2023-01-09 12:00:00
72558	OAX	4132	-9637	350	OMAHA/VALLEY	NULL	0,1,2,3,6,7,10,14,18	2007-09-24	2023-01-09 12:00:00
72562	LBF	4113	-10068	847	NORTH PLATTE	NULL	0,3,5,6,7,10,14,18	2007-09-10	2023-01-09 12:00:00
72572	SLC	4077	-11197	1288	SALT LAKE CITY	NULL	0,4,5,6,7,10,14,17	2005-09-20	2023-01-09 12:00:00
72582	LKN	4087	-11573	1608	ELKO	NULL	0,3,5,6,7,10,14,17	2007-06-18	2023-01-09 12:00:00
72597	MFR	4238	-12288	398	MEDFORD	NULL	0,3,5,6,7,10,14,17	2009-03-16	2023-01-09 12:00:00
72632	DTX	4270	-8347	329	DETROIT/PONTIAC	DTW	0,1,2,3,6,7,10,14,15,18	2009-05-11	2023-01-09 12:00:00
72634	APX	4455	-8443	448	GAYLORD / ALPENA	NULL	0,1,2,3,6,7,10,14,15,18	2007-08-27	2023-01-09 12:00:00
72645	GRB	4450	-8811	209	GREEN BAY	ATW	0,1,2,3,6,7,10,14,15,18	2008-10-14	2023-01-09 12:00:00
72649	MPX	4483	-9355	287	MINNEAPOLIS	MSP	0,1,2,4,6,7,10,14,18	2005-09-07	2023-01-09 12:00:00
72659	ABR	4545	-9842	397	ABERDEEN	NULL	0,1,2,4,6,7,10,14,18	2006-08-07	2023-01-09 12:00:00
72662	UNR	4407	-10321	1037	RAPID CITY	NULL	0,4,5,6,7,10,14,18	2006-07-24	2023-01-09 12:00:00
72672	RIW	4306	-10847	1688	RIVERTON	NULL	0,4,5,6,7,10,14,18	2006-09-05	2023-01-09 12:00:00
72681	BOI	4357	-11622	871	BOISE	NULL	0,4,5,6,7,10,14,17	2006-10-27	2023-01-09 12:00:00
72694	SLE	4492	-12302	61	SALEM	PDX	0,3,5,6,7,10,14,17	2007-07-02	2023-01-09 12:00:00
72712	CAR	4687	-6802	191	CARIBOU	NULL	0,3,5,6,7,10,14,18	NULL	2023-01-09 12:00:00
72747	INL	4857	-9338	359	INTERNATIONAL FALLS	NULL	0,1,2,3,6,7,10,14,18	2009-05-25	2023-01-09 12:00:00
72764	BIS	4677	-10075	503	BISMARCK	NULL	0,1,4,6,7,10,14,18	2006-08-21	2023-01-09 12:00:00
