wmoid	name	descript	lat	lon	elev
61291	GABS	BAMAKO/SENOU (MIL)	1253	-795	381
61223	GATB	TOMBOUCTOU/TIMBUKTU	1672	-300	264
61052	DRRR	NIAMEY-AERO	1348	217	227
61024	DRZA	AGADEZ SOUTH (MIL)	1697	798	502
60680	60680	TAMANRASSET	2278	552	1378
60656	DAOF	TINDOUF	2767	-813	431
60630	60630	IN SALAH	2720	247	293
60571	DAOR	BECHAR/OUAKDA	3162	-223	773
60390	DAAG	DAR-EL-BEIDA/HOUARI	3672	325	25
60018	60018	VALLE DE GUIMAR TENERIFE	2831	-1625	120
59981	59981	XISHA ISLAND	1683	11233	5
59758	ZGHK	HAIKOU	2003	11035	15
59431	ZGNN	NANNING/WUXU	2282	10835	73
59316	ZGOW	SHANTOU	2340	11668	3
59280	59280	PING YUAN	2367	11305	19
59265	59265	WUZHOU	2348	11130	120
59211	59211	BOSE	2392	10662	242
59134	59134	XIA-MEN	2445	11807	63
58847	ZSFZ	FUZHOU	2608	11928	85
58725	58725	SHAOWU	2733	11743	192
58665	58665	LUQIAO	2865	12008	9
58633	58633	QU XIAN	2897	11887	71
58606	ZSCN	NANCHANG	2860	11592	50
58457	ZSHC	HANGZHOU/JIANQIAO	3023	12017	43
58424	58424	ANQING	3052	11703	20
58362	58362	SHANGHAI	3140	12147	4
58238	ZSNJ	NANJING/NANKING	3200	11880	12
58203	58203	FUYANG	3293	11583	39
58150	58150	SHEYANG/HEDE	3377	12025	7
58027	58027	XUZHOU	3428	11715	42
57993	ZSGZ	GANZHOU	2585	11495	125
57972	57972	CHENZHOU	2582	11302	185
57957	ZGKL	GUILIN	2533	11030	166
57816	ZUGY	GUIYANG	2658	10672	1074
57749	57749	HUAIHUA	2757	11000	261
57679	ZGCS	CHANGSHA/DATUOPU	2820	11308	46
57516	ZUCK	CHONGQING/CHUNGKING	2952	10648	351
57494	ZHHH	WUHAN/NANHU	3062	11413	23
57461	57461	YICHANG	3070	11128	134
57447	57447	ENSHI	3028	10947	458
57178	57178	NANYANG	3302	11253	131
57127	57127	HANZHONG	3307	10703	509
57083	ZHCC	ZHENGZHOU	3472	11365	111
57036	ZLSN	XI'AN	3429	10893	398
56985	56985	MENGZI	2338	10338	1302
56964	56964	SIMAO	2277	10098	1303
56778	ZPPP	KUNMING/WUJIABA	2502	10268	1892
56739	56739	TENGCHONG	2503	9848	1649
56691	56691	WEINING	2687	10428	2236
56571	56571	XICHANG	2790	10227	1599
56146	56146	GARZE	3162	10000	3394
56137	56137	QAMDO	3115	9717	3307
56080	56080	HEZUO	3497	10290	2910
56029	56029	YUSHU	3302	9702	3682
55591	ZULS	LHASA	2967	9113	3650
55299	55299	NAGQU	3148	9207	4508
54857	ZSQD	QINGDAO/TSINGTAO	3607	12033	77
54662	ZYTL	DALIAN/DAIREN/LUDA	3890	12163	97
54511	ZBAA	BEIJING/PEKING	3993	11628	55
54497	54497	DANDONG	4008	12433	14
54374	54374	LINJIANG	4172	12692	333
54342	ZYYY	SHENYANG/DONGTA	4177	12343	43
54337	54337	JINZHOU	4112	12107	70
54292	54292	YANJI	4288	12947	178
54218	54218	CHIFENG/ULANHAD	4227	11897	572
54161	ZYCC	CHANGCHUN	4390	12522	238
54135	54135	TONGLIAO	4360	12227	180
54102	54102	XILIN HOT/ABAGNAR	4395	11607	991
53915	53915	PINGLIANG	3555	10667	1348
53845	ZLYA	YAN AN	3660	10950	959
53772	ZBYN	TAIYUAN/WUSU	3778	11255	779
53614	ZLIC	YINCHUAN	3848	10622	1112
53513	53513	LINHE	4077	10740	1041
53463	ZBHH	HOHHOT	4082	11168	1065
53068	53068	ERENHOT	4365	11200	966
52866	ZLXN	XINING	3662	10177	2262
52836	52836	DULAN/QAGAN US	3630	9810	3192
52818	52818	GOLMUD	3642	9490	2809
52681	52681	MINQIN	3863	10308	1367
52533	ZLJQ	JIUQUAN/SUZHOU	3977	9848	1478
52418	52418	DUNHUANG	4015	9468	1140
52323	52323	MAZONG SHAN (MOUNT)	4180	9703	1770
52267	52267	EJIN QI	4195	10107	941
52203	ZWHM	HAMI	4282	9352	739
51839	51839	MINFENG/NIYA	3707	8277	1410
51828	ZWTN	HOTAN	3713	7993	1375
51777	51777	RUOQIANG	3903	8817	889
51709	ZWSH	KASHI	3947	7598	1291
51644	51644	KUQA	4172	8295	1100
51463	51463	URUMQI	4378	8762	919
51431	ZWYN	YINING	4395	8133	663
51076	51076	ALTAY	4773	8808	737
50953	50953	HARBIN	4575	12677	143
50774	50774	YICHUN	4772	12890	232
50557	50557	NENJIANG	4917	12523	243
50527	50527	HAILAR	4922	11975	611
48820	VVNB	HANOI/NOIBAI INTL	2102	10580	6
48615	WMKC	KOTA BHARU/SULTAN P	617	10228	5
48601	WMKP	PENANG/BAYAN LEPAS	530	10027	4
48407	VTUU	UBON/RATCHATHANI	1525	10487	127
47991	RJAM	MINAMITORISHIMA	2430	15397	9
47971	RJAO	CHICHIJIMA ISLAND	2708	14218	8
47945	ROMD	MINAMIDAITOJIMA ISLAND	2583	13123	20
47936	47936	NAHA AIRPORT	2620	12768	27
47918	ROIG	ISHIGAKIJIMA ISLAND	2433	12417	7
47909	47909	NAZE/FUNCHATOGE	2838	12955	295
47827	47827	KAGOSHIMA/YOSHINO	3163	13058	31
47807	47807	FUKUOKA	3358	13038	14
47778	47778	SHIONOMISAKI	3345	13577	75
47744	47744	YONAGO	3543	13335	8
47681	RJNH	HAMAMATSU AB	3473	13767	48
47678	47678	HACHIJOJIMA/OMURE	3312	13978	80
47646	47646	TATENO	3605	14013	31
47600	47600	WAJIMA	3738	13690	14
47590	47590	SENDAI	3827	14090	43
47582	47582	AKITA	3972	14010	21
47580	RJSM	MISAWA	4068	14138	39
47420	47420	NEMURO	4333	14558	26
47412	47412	SAPPORO	4305	14133	19
47401	47401	WAKKANAI	4542	14168	11
47185	47185	CHEJU	3328	12617	73
47158	RKJJ	KWANGJU (KOR-AFB)	3512	12682	13
47138	47138	POHANG	3603	12938	6
47122	RKSO	OSAN (US/KOR-AFB)	3710	12703	12
47102	47102	CHONGONG-NI	3803	12715	70
45004	45004	KING'S PARK	2232	11417	66
44292	44292	ULAN-BATOR	4793	10698	1313
44212	44212	ULAN-GOM	4997	9208	936
43371	43371	THIRUVANANTHAPURAM	848	7695	64
43369	43369	MINICOY ISLAND	830	7315	2
43346	43346	KARAIKAL	1092	7983	7
43333	VEPB	PORT BLAIR	1167	9272	79
43295	43295	BANGALORE	1297	7758	921
43285	43285	PANAMBUR	1295	7483	31
43185	43185	MACHILIPATNAM	1620	8115	3
43150	43150	VISHAKHAPATNAM/WALT	1770	8330	66
43128	VOHY	HYDERABAD (CIV/MIL)	1745	7847	545
43014	VAAU	AURANGABAD AIRPORT	1985	7540	579
43003	VABB	BOMBAY/SANTACRUZ	1912	7285	14
42971	VEBS	BHUBANESWAR	2025	8583	46
42874	42874	PBO RAIPUR	2122	8167	298
42867	VANP	NAGPUR SONEGAON AFB	2110	7905	310
42809	VECC	CALCUTTA/DUM DUM	2265	8845	6
42724	VEAT	AGARTALA	2388	9125	16
42701	VERC	RANCHI	2332	8532	652
42667	VABP	BHOPAL/BAIRAGARH	2328	7735	523
42647	VAAH	AHMADABAD	2307	7263	55
42492	VEPT	PATNA	2560	8510	60
42410	VEGT	GAUHATI (IN-AFB)	2610	9158	54
42369	VILK	LUCKNOW/AMAUSI	2675	8088	128
42361	VIGR	GWALIOR (IN-AFB)	2623	7825	207
42339	VIJO	JODHPUR (IN-AFB)	2630	7302	224
42314	VEMN	DIBRUGARH/MOHANBARI	2748	9502	111
42182	VIDD	DELHI/SAFDARJUNG	2858	7720	216
42101	42101	PATIALA	3033	7647	251
41256	OOMS	SEEB INTL/MUSCAT	2358	5828	17
41217	OMAA	ABU DHABI INTL	2443	5465	27
41112	OEAB	ABHA	1823	4265	2084
41024	OEJN	JEDDAH/ABDUL AZIZ	2167	3915	17
40800	OIFM	ESFAHAN (CIV/AFB)	3262	5167	1590
40766	OICC	KERMANSHAH/BAKTARAN	3427	4712	1322
40754	OIII	TEHRAN/MEHRABAD AFB	3568	5135	1191
40582	OKBK	KUWAIT INTERNATIONAL AIRPORT	2922	4798	55
40430	OEMA	MADINAH INTL ARPT	2455	3972	636
40417	OEMF	KING FAHAD INTERNATIONAL APT	2645	4982	12
40375	OETB	TABUK (SAUD-AFB)	2837	3658	770
40373	OEPA	HAFR AL-BATIN ARPT	2833	4612	355
40179	40179	BET DAGAN	3200	3482	30
38341	38341	DZAMBUL	4285	7138	653
36870	UAAA	ALMA-ATA	4323	7693	847
35700	35700	GUR'EV	4702	5185	-15
35394	35394	KARAGANDA	4980	7313	553
35229	UATT	AKTJUBINSK	5028	5715	224
35121	35121	ORENBURG	5178	5522	109
34880	34880	ASTRAHAN'	4627	4803	-18
34858	34858	DIVNOE	4592	4335	87
34560	URWW	VOLGOGRAD	4868	4435	145
34247	34247	KALAC	5042	4105	93
34122	UUOO	VORONEZ	5167	3927	104
34009	34009	KURSK	5177	3617	247
33791	33791	KRYVYI RIH	4303	3322	125
33345	UKKK	KIEV/ZHULYANY	5040	3045	167
32540	UHPP	PETROPAVLOVSK-KAMCHATSKIJ	5297	15875	24
32150	UHSS	JUZNO-SAHALINSK	4692	14273	31
32061	32061	ALEKSANDROVSK-SAHALINSKIJ	5090	14217	31
31977	31977	SAD-GOROD	4327	13205	82
31873	31873	DAL'NERECENSK	4587	13373	107
31736	31736	HABAROVSK	4853	13523	72
31510	31510	BLAGOVESCENSK	5027	12750	137
31369	31369	NIKOLAEVSK-ON-AM	5315	14070	68
31300	31300	ZEJA	5375	12723	232
31088	31088	OHOTSK	5937	14320	6
31004	31004	ALDAN	5862	12537	682
30965	30965	BORZJA	5038	11652	684
30935	30935	KRASNYJ CIKOJ	5037	10875	770
30758	30758	CHITA	5202	11333	685
30715	30715	ANGARSK	5248	10385	450
30635	30635	UST-BARGUZIN	5442	10902	457
30554	30554	BOGDARIN	5462	11313	995
30372	30372	CARA	5692	11837	711
30309	30309	BRATSK	5607	10183	489
30230	UIKK	KIRENSK	5777	10812	258
30054	30054	VITIM	5945	11258	193
29698	UINN	NIZNE-UDINSK	5488	9903	410
29634	UNNN	NOVOSIBIRSK	5503	8290	176
29612	29612	BARABINSK	5537	7837	120
29572	29572	EMEL'JANOVO	5618	9262	296
28952	28952	KUSTANAJ	5322	6362	156
28698	28698	OMSK	5493	7340	123
28445	28445	VERHNEE DUBROVO	5673	6107	290
28275	28275	TOBOLSK	5815	6818	44
28225	28225	PERM	5795	5620	170
27995	27995	BEZENCUKSKAJA	5298	4943	45
27962	UWPP	PENZA	5313	4502	174
27707	27707	SUHINICI	5412	3533	239
27612	27612	MOSCOW	5575	3757	156
27595	27595	KAZAN'	5578	4918	116
27459	27459	NIZNIJ NOVGOROD	5627	4400	157
27199	27199	KIROV	5860	4963	158
27037	ULWW	VOLOGDA	5923	3987	131
