wmoid	name	descript	lat	lon	elev
91348	PTPN	PONAPE ISLAND	696	15820	38
91366	PKWA	KWAJALEIN/BUCHOLZ	873	16773	8
91408	PTRO	KOROR/PALAU ISLAND	733	13448	33
91413	PTYA	YAP ISLAND	948	13808	17
91592	NWWN	NOUMEA	-2227	16645	72
91765	NTSU	PAGO PAGO INTL ARPT	-1433	-17072	3
91938	NTAA	TAHITI ISLAND/FAAA	-1755	-14962	2
93844	NZNV	INVERCARGILL AERO	-4642	16833	1
94120	YPDN	DARWIN (CIV/MIL)	-1240	13087	30
94150	YDGV	GOVE AIRPORT	-1227	13682	54
94203	YBRM	BROOME AIRPORT	-1795	12222	9
94294	YBTL	TOWNSVILLE(CIV/MIL)	-1925	14675	6
94302	YPLM	LEARMOUTH	-2223	11408	6
94326	YBAS	ALICE SPRINGS ARPT	-2380	13390	541
94403	YPGN	GERALDTON AIRPORT	-2878	11470	34
94578	YBBN	BRISBANE INTL ARPT	-2738	15310	5
94610	YPPH	PERTH INTL/BELMONT	-3193	11595	29
94637	YPKG	KALGOORLIE/BOULDER	-3077	12145	360
94672	YPAD	ADELAIDE INTL ARPT	-3493	13852	4
94767	YSSY	SYDNEY INTL AIRPORT	-3395	15118	3
94776	YSWM	WILLIAMTOWN(AUS-AB)	-3278	15182	8
94866	YMML	MELBOURNE INTL ARPT	-3767	14483	141
94910	YSWG	WAGGA WAGGA(CV/MIL)	-3515	14745	213
94975	YMHB	HOBART AIRPORT	-4283	14748	27
94996	YSNF	NORFOLK ISLAND ARPT	-2903	16793	109
94998	YMMQ	MACQUARIE ISLAND	-5448	15893	6
96315	WBGI	BRUNEI AIRPORT	493	11493	15
96413	WBGG	KUCHING (CIV/MIL)	148	11033	27
96441	WBGB	BINTULU/KALIMANTAN	320	11303	5
96471	WBKK	KOTA KINABALU INTL	593	11605	3
96481	WBKW	TAWAU/KALIMANTAN IL	427	11788	20
1400	ENEK	NULL	5653	322	46
3354	3354	NULL	5300	-125	117
3743	3743	NULL	5120	-180	132
8221	LEMD	NULL	4047	-358	638
8302	8302	NULL	3960	270	45
11747	11747	NULL	4945	1713	216
13275	13275	NULL	4477	2042	203
14430	14430	NULL	4409	1535	84
16113	16113	NULL	4453	762	386
16754	LGIR	NULL	3533	2518	39
17281	LTCC	DIYARBAKIR(CIV/AFB)	3788	4018	677
20674	20674	NULL	7353	8040	47
22820	22820	NULL	6182	3427	109
23418	23418	NULL	6512	5710	56
23804	UUYY	NULL	6172	5083	119
23884	23884	NULL	6160	9000	63
24343	24343	NULL	6677	12340	93
24507	24507	NULL	6427	10023	186
24726	24726	NULL	6255	11388	347
24944	24944	NULL	6040	12042	226
25123	25123	NULL	6880	16128	32
25428	25428	NULL	6523	16050	265
26477	ULOL	NULL	5638	3060	98
27730	27730	NULL	5463	3970	158
29231	29231	NULL	5830	8290	76
29263	29263	NULL	5845	9215	78
29282	29282	NULL	5842	9740	134
29839	29839	NULL	5335	8382	159
29862	29862	NULL	5377	9132	256
31538	31538	NULL	5007	13213	349
32389	32389	NULL	5632	16083	28
34731	URRR	NULL	4725	3982	77
35671	35671	NULL	4780	6772	345
36003	36003	NULL	5228	7695	123
37018	37018	NULL	4410	3907	41
37054	URMM	NULL	4422	4310	314
40394	OEHL	NULL	2752	4173	1013
40437	OERK	NULL	2493	4672	612
40706	OITT	NULL	3808	4628	1361
40809	OIMB	NULL	3287	5920	1491
40841	OIKK	NULL	3025	5697	1754
40948	OAKB	NULL	3455	6922	1791
42027	42027	NULL	3408	7483	1587
43279	VOMM	NULL	1300	8018	16
43311	43311	NULL	1112	7273	4
44231	44231	NULL	4963	10017	1288
47090	47090	NULL	3825	12857	18
47169	47169	NULL	3468	12545	83
48568	VTSH	NULL	720	10060	5
48650	48650	NULL	310	10165	17
48657	WMKD	NULL	378	10322	16
48698	WSSS	NULL	137	10398	16
48855	VVDN	NULL	1603	10818	7
48900	VVTS	NULL	1082	10667	19
52983	52983	NULL	3587	10415	1875
54727	54727	NULL	3670	11755	123
56187	56187	NULL	3070	10383	541
58968	58968	NULL	2503	12153	9
60191	60191	NULL	3237	-640	468
60715	DTTA	NULL	3683	1023	4
60760	DTTZ	NULL	3392	817	93
61902	FHAW	NULL	-797	-1440	79
61980	61980	NULL	-2088	5552	20
61995	61995	NULL	-2030	5750	425
62403	62403	NULL	2620	3275	96
62423	62423	NULL	2705	2797	92
68110	FAWW	NULL	-2257	1710	1725
68240	FBSK	NULL	-2422	2592	1005
68461	FABM	NULL	-2825	2833	1682
68538	68538	NULL	-3067	2402	1287
68588	FADN	NULL	-2997	3095	8
68816	FACT	NULL	-3398	1860	42
68842	FAPE	NULL	-3398	2560	60
68994	FAME	NULL	-4688	3787	22
89642	89642	NULL	-6667	14002	43
91843	NCRG	NULL	-2120	-15982	7
91925	91925	NULL	-980	-13903	52
26629	26629	NULL	5488	2388	75
37789	UGEE	NULL	4013	4447	890
40265	OJMF	NULL	3237	3627	687
48327	VTCC	NULL	1878	9898	314
72381	EDW	NULL	3490	-11792	724
72451	DDC	NULL	3777	-9997	791
48455	48455	NULL	1373	10050	20
48565	VTSP	NULL	812	9832	10
74002	APG	NULL	3947	-7607	5
60155	GMMC	NULL	3357	-767	62
89564	89564	NULL	-6860	6287	16
78384	KCR	NULL	1930	-8137	3
91948	91948	NULL	-2313	-13497	89
78807	78807	NULL	897	-7966	9
82022	SBBV	NULL	283	-6070	140
82026	SBTS	NULL	-222	-5595	326
82099	82099	NULL	5	-5107	17
82193	SBBE	NULL	-138	-4848	16
82244	82244	NULL	-243	-5472	72
82281	SBSL	NULL	-260	-4423	53
82400	SBFN	NULL	-385	-3242	56
82411	82411	NULL	-423	-6992	120
82599	SBNT	NULL	-592	-3525	52
82678	82678	NULL	-677	-4302	138
82917	82917	NULL	-1000	-4780	143
83208	SBVH	NULL	-1273	-6013	652
83229	83229	NULL	-1302	-3852	51
83554	83554	NULL	-1900	-5767	142
83899	83899	NULL	-2767	-4855	5
83928	SBUG	NULL	-2978	-5703	74
83937	SBSM	NULL	-2972	-5370	85
83971	SBPA	NULL	-3000	-5118	3
88889	EGYP	NULL	-5182	-5845	73
89062	89062	NULL	-6757	-6813	16
89571	89571	NULL	-6857	7795	13
89611	89611	NULL	-6628	11052	41
91165	LIH	NULL	2198	-15935	36
91376	PKMJ	MAJURO/MARSHALL_ISL,MH	708	17138	3
91532	91532	NULL	-53	16692	0
91680	NFFN	NULL	-1775	17745	18
92044	92044	NULL	-207	14743	5
93112	NZWP	NULL	-3678	17463	27
93417	NZPP	NULL	-4090	17498	12
94299	94299	NULL	-1630	14998	9
94711	94711	NULL	-3148	14582	265
94995	ASLH	NULL	-3153	15907	6
95527	95527	NULL	-2950	14983	214
96035	WIMM	NULL	357	9868	25
96163	WIMG	NULL	-88	10035	3
96237	WIKK	NULL	-217	10613	33
97014	WAMM	NULL	153	12492	80
97072	WAML	NULL	-68	11973	6
97372	WRKK	NULL	-1017	12367	108
97560	WABB	NULL	-118	13612	11
26038	ULTT	NULL	5945	2480	44
6458	EBBE	BEAUVECHAIN, BX	5075	477	127
91954	NTAT	NULL	-2335	-14948	3
93986	NZCI	NULL	-4395	-17657	48
94170	94170	NULL	-1263	14190	0
94312	YPPD	NULL	-2037	11862	6
94332	YBMA	NULL	-2067	13948	344
94374	YBRK	NULL	-2338	15047	14
94430	YPMR	NULL	-2660	11853	518
94461	94461	NULL	-2503	12828	599
94510	YBCV	NULL	-2640	14627	304
94802	YPAL	NULL	-3493	11780	69
94821	YMMG	NULL	-3773	14078	69
96996	YPCC	NULL	-1218	9682	3
8160	LEZG	NULL	4167	-102	258
10962	10962	NULL	4780	1102	986
11010	LOWL	NULL	4823	1420	313
11120	LOWI	NULL	4727	1135	581
11240	LOWG	NULL	4700	1543	347
14015	14015	NULL	4607	1452	316
20744	20744	NULL	7238	5273	16
20891	20891	NULL	7200	10245	33
31168	31168	NULL	5645	13815	9
32098	32098	NULL	4922	14310	4
33317	33317	NULL	5017	2705	278
33393	UKLL	NULL	4982	2395	325
33631	33631	NULL	4863	2227	118
33837	UKOO	NULL	4643	3077	43
33946	UKFF	NULL	4468	3413	181
34300	34300	NULL	4993	3628	152
40745	OIMM	NULL	3627	5963	980
40821	40821	NULL	3190	5428	1237
40848	OISS	NULL	2953	5258	1491
40856	40856	NULL	2947	6088	1379
40875	OIKB	NULL	2722	5637	10
41316	OOSA	NULL	1703	5408	17
41923	41923	NULL	2343	9118	9
42379	VEGK	NULL	2675	8337	77
42397	42397	NULL	2667	8837	123
43041	43041	NULL	1908	8203	553
43192	43192	NULL	1548	7382	60
63741	HKNC	NULL	-130	3675	1798
83827	SBFI	NULL	-2552	-5458	243
85469	SCIP	NULL	-2715	-10942	47
89512	89512	NULL	-7077	1183	102
89592	89592	NULL	-6655	9302	30
94659	YPWR	NULL	-3113	13682	167
96749	WIII	NULL	-612	10665	8
96935	WRSJ	NULL	-737	11277	3
97724	WAPP	NULL	-370	12808	12
97980	WAKK	NULL	-847	14038	3
12982	LHUD	NULL	4625	2010	84
65578	DIAP	NULL	525	-393	8
83498	83498	NULL	-1773	-3925	3
84008	SEST	NULL	-90	-8960	6
84378	84378	NULL	-373	-7325	117
91610	NGTA	NULL	135	17292	4
91801	91801	NULL	-900	-15805	1
91958	91958	NULL	-2762	-14433	2
33658	33658	NULL	4837	2590	246
40100	OLBA	NULL	3382	3548	19
41594	OPSR	NULL	3205	7267	188
94638	94638	NULL	-3382	12188	26
47058	47058	NULL	3903	12578	38
61687	GOTT	NULL	1376	-1368	50
64700	FTTJ	NULL	1213	1503	295
93997	NZRN	NULL	-2925	-17792	49
40811	OIAW	NULL	3133	4866	22
33041	33041	NULL	5245	3100	127
64400	FCPP	NULL	-482	1190	17
91643	NGFU	NULL	-852	17922	2
47981	RJAW	NULL	2478	14133	116
91943	91943	NULL	-1448	-14503	3
68442	FABL	NULL	-2910	2630	1348
41977	41977	NULL	2235	9182	34
94647	94647	NULL	-3167	12888	99
97180	WAAA	NULL	-507	11955	14
84416	84416	NULL	-518	-8060	52
78988	ACC	NULL	1220	-6897	54
83288	SBLP	NULL	-1327	-4342	458
3502	EGUC	NULL	5213	-457	132
67083	FMMI	NULL	-1880	4748	1276
71701	YCX	NULL	4583	-6643	52
28722	28722	NULL	5475	5600	105
6496	EBLB	NULL	5047	618	570
43353	VOCC	NULL	995	7627	3
96491	WBKS	NULL	590	11807	13
82765	82765	NULL	-733	-4747	212
28661	28661	NULL	5547	6540	79
80001	80001	NULL	1258	-8170	4
3693	3693	NULL	5155	83	3
61442	GQNN	NULL	1810	-1595	3
98444	RPMP	NULL	1313	12373	17
72388	DRAne	LAS VEGAS	3605	-11518	693
